time,ClgPct,ClgStg01Cmd,ClgStg02Cmd,EffRmSp,ExhAirDmprFbk,HtgPct,HtgStg01Cmd,HtgStg02Cmd,MixAirTemp,OccCmd,OccStatus,OutAirDmprFbk,OutAirHum,OutAirTemp,RmSp,RmTemp,SuplFanSpd,SuplFanStatus,UnoccClgSp,UnoccHtgSp,oppMode,ClgPct_outlier,HtgPct_outlier,OutAirTemp_outlier,RmTemp_outlier,SuplFanSpd_outlier
2025-01-28 09:45:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.66666667,1.0,1.0,0.0,35.33333333,45.7,70.0,69.13333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 10:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.46666667,1.0,1.0,0.0,35.33333333,45.2,70.0,68.7,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 10:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.56666667,1.0,1.0,0.0,36.0,45.93333333,70.0,68.9,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 10:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,63.0,1.0,1.0,0.0,36.0,45.43333333,70.0,70.0,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 10:45:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.53333333,1.0,1.0,0.0,36.0,45.26666667,70.0,68.7,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 11:00:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.3,1.0,1.0,0.0,36.0,45.76666667,70.0,68.33333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 11:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.93333333,1.0,1.0,0.0,36.66666667,46.6,70.0,69.9,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 11:30:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.46666667,1.0,1.0,0.0,36.66666667,45.6,70.0,68.9,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 11:45:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.2,1.0,1.0,0.0,37.33333333,45.6,70.0,68.2,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 12:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.6,1.0,1.0,0.0,37.0,46.7,70.0,69.5,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 12:15:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.56666667,1.0,1.0,0.0,38.0,44.7,70.0,69.16666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 12:30:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,61.96666667,1.0,1.0,0.0,38.0,43.96666667,70.0,68.06666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 12:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.46666667,1.0,1.0,0.0,38.0,44.83333333,70.0,69.6,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 13:00:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.33333333,1.0,1.0,0.0,39.0,44.76666667,70.0,68.86666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 13:15:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.1,1.0,1.0,0.0,38.0,45.83333333,70.0,68.43333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 13:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.76666667,1.0,1.0,0.0,38.33333333,45.93333333,70.0,69.9,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 13:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.23333333,1.0,1.0,0.0,37.66666667,46.83333333,70.0,68.3,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 14:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.3,1.0,1.0,0.0,36.0,47.0,70.0,68.1,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 14:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.1,1.0,1.0,0.0,35.0,47.73333333,70.0,68.1,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 14:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.1,1.0,1.0,0.0,35.0,48.33333333,70.0,68.1,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 14:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.36666667,1.0,1.0,0.0,34.0,49.46666667,70.0,68.1,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 15:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.6,1.0,1.0,0.0,33.0,50.43333333,70.0,68.1,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 15:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.7,1.0,1.0,0.0,32.33333333,51.73333333,70.0,68.1,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 15:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.76666667,1.0,1.0,0.0,32.0,52.03333333,70.0,68.43333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 15:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,63.0,1.0,1.0,0.0,32.0,52.26666667,70.0,69.1,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 16:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,63.36666667,1.0,1.0,0.0,31.66666667,53.46666667,70.0,69.4,100.0,2.0,80.0,60.0,0,False,False,False,False,False
